zip,temp-sun-6,condition-sun-6,temp-mon-9,condition-mon-9,temp-mon-12,condition-mon-12,temp-mon-3,condition-mon-3,temp-mon-6,condition-mon-6,temp-tues-9,condition-tues-9,temp-tues-12,condition-tues-12,temp-tues-3,condition-tues-3,temp-tues-6,condition-tues-6
32061,68,Overcast,68,Partly Cloudy,77,Partly Cloudy,78,Overcast,70,Mostly Cloudy,65,Partly Cloudy,75,Mostly Cloudy,77,Mostly Cloudy,70,Partly Cloudy
32062,69,Mostly Cloudy,67,Partly Cloudy,77,Partly Cloudy,79,Mostly Cloudy,71,Mostly Cloudy,63,Partly Cloudy,74,Partly Cloudy,78,Clear,71,Clear
32063,68,Mostly Cloudy,67,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy,64,Partly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,68,Partly Cloudy
32064,70,Mostly Cloudy,65,Partly Cloudy,76,Partly Cloudy,78,Mostly Cloudy,71,Mostly Cloudy,62,Partly Cloudy,74,Partly Cloudy,77,Partly Cloudy,70,Partly Cloudy
32065,69,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,70,Mostly Cloudy,67,Partly Cloudy,74,Mostly Cloudy,75,Partly Cloudy,69,Partly Cloudy
32066,70,Overcast,67,Partly Cloudy,77,Partly Cloudy,79,Mostly Cloudy,72,Mostly Cloudy,63,Partly Cloudy,74,Partly Cloudy,78,Partly Cloudy,71,Partly Cloudy
32067,69,Overcast,71,Mostly Cloudy,76,Mostly Cloudy,76,Overcast,71,Mostly Cloudy,68,Mostly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,70,Partly Cloudy
32068,68,Overcast,69,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,70,Mostly Cloudy,66,Partly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy
32071,69,Mostly Cloudy,67,Partly Cloudy,77,Partly Cloudy,79,Mostly Cloudy,72,Mostly Cloudy,64,Partly Cloudy,75,Partly Cloudy,78,Partly Cloudy,71,Clear
32072,68,Mostly Cloudy,67,Partly Cloudy,76,Partly Cloudy,77,Overcast,70,Mostly Cloudy,63,Partly Cloudy,74,Mostly Cloudy,77,Mostly Cloudy,69,Partly Cloudy
32073,69,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,76,Overcast,71,Mostly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,69,Partly Cloudy
32079,69,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,70,Mostly Cloudy,67,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,68,Partly Cloudy
32080,74,Mostly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,72,Mostly Cloudy,73,Mostly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,71,Partly Cloudy
32081,70,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Mostly Cloudy,72,Mostly Cloudy,74,Mostly Cloudy,73,Partly Cloudy,69,Clear
32082,70,Mostly Cloudy,74,Mostly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,71,Mostly Cloudy,72,Mostly Cloudy,74,Mostly Cloudy,73,Partly Cloudy,69,Clear
32083
32084
32085
32086,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,72,Mostly Cloudy,73,Mostly Cloudy,75,Overcast,74,Mostly Cloudy,70,Partly Cloudy
32087,67,Mostly Cloudy,66,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,69,Mostly Cloudy,63,Partly Cloudy,74,Partly Cloudy,76,Mostly Cloudy,68,Partly Cloudy
32091
32092
32094,68,Overcast,66,Partly Cloudy,76,Partly Cloudy,78,Mostly Cloudy,71,Mostly Cloudy,62,Partly Cloudy,74,Partly Cloudy,77,Partly Cloudy,70,Partly Cloudy
32095
